Location Searched,Insoection vs Plan Check,Address,Last Activity Date,Last Activity Action,Status of Latest Action,Permit No.,Type of Project,Project Description
palo alto,— Inspection,700 Kingsley Av,Apr 20 2010,Permit Issued,Approved,10000-00767,Permit: #10000-00767,REROOF; INSTALL 30 LB FELT TIMBERLINE ELK 40 YEAR LAMINATED.,
palo alto,— Permit,827 Richardson Ct,Apr 12 2010,Permit Issued,Permit Issued,09000-00706,Permit: #10REV-00105,009-706: ADD NEW FOOTING & BEAM,
palo alto,— Inspection,1630 Portola Av,Dec 27 2010,Permit Issued,Partially approved,10000-02020,Permit: #10000-02020,INSTALL AC UNIT,
palo alto,Plam Check,855 El Camino Real Suite 88,May 11 2009,,Approved,09REV-00184,Permit: #09REV-00184,TENANT "GITANE" (09-505) REVISION TO ADD NEW ROOFTOP HEAT PUMP AT SAME LOCATION OF EXISTING AND REVISION TO AIR DISTRIBUTION,
palo alto,Plam Check,888 Los Robles Av,Apr 8 2009,,Approved,09REV-00145,Permit: #09REV-00145,08-2714: ADDED COIFFERED CEILING AT BEDRMS LIVING RM FAMILY RM INT SHEAR WALL DETAILS 2-SKYLIGHTS WNDW HEADERS REVS.,
palo alto,Plam Check,465 Lytton Av,May 28 2009,,Approved,09REV-00147,Permit: #09REV-00147,08-3175: REPLACE CORRUGATED SIDING WITH DROP SIDING; 9/30/09 CHANGE FROM DROP SIDING TO SHEATHING.,
palo alto,— Inspection,3365 Kenneth Dr,Aug 20 2009,,Not approved; corrections required,09000-01129,Permit: #09000-01129,Sweep gravel and clean debris off roof. Spray applied foam & coatings.,
palo alto,— Inspection,610 Cowper St,Apr 22 2009,Permit Issued,Approved,09000-00463,Permit: #09000-00704,REPLACE 4-IN SEWER LATERAL VIA PIPE-BURSTING METHOD (APPROX 50-FT) FROM RIGHT SIDE BLDG CLEAN-OUT TO CITY CLEAN-OUT,
palo alto,— Inspection,1885 Mark Twain St,Jun 15 2015,Permit Issued,Approved,14000-02491,Web-Re-roofing,Remove existing shakes. Apply 1/2" cdx sheeting. Install approximately 3600 square feet of a lightweight class "A" lifetime dimensional fiberglass shingle,
palo alto,— Inspection,2200 Geng Rd Suite 200,May 29 2009,Permit Issued,Approved,09000-00700,Permit: #09000-00700,T.I. FOR NEW TENANT "LANIER LAW GROUP" ON 2ND FLOOR STE 200 (8013 SF); ENLARGE 2 CONFERENCE ROOMS NEW LIGHTING NEW SERVER ROOM NEW A/C CONDENSER ON ROOF. U&O ISSUED 06/15/10 (YSS).,
palo alto,— Inspection,437 Lytton Av Suite 201,Jun 17 2014,,Approved,09000-00698,Permit: #09000-00698,U&O ONLY FOR EXISTING TENANT STE 201 "MAJOR LINDSEY & AFRICA" (1204 SF).,
palo alto,— Inspection,550 Hamilton Av Suite 330,Jun 10 2015,Permit Issued,Approved,09000-00705,Permit: #09000-00705,U&O FOR EXISTING TENANT "CAROL E. CLELAND MA" PSYCHOTERAPY OFFICE IN STE. 330 (300 SF).,
palo alto,— Inspection,797 Coastland Dr,Jul 12 2010,Permit Issued,Approved,09000-00718,Permit: #09000-00718,SINGLE-STORY RESIDENTIAL ADDITION (181-SF) WITH COVERED PATIO (36-SF) 7/14/09 EXPANDED DOOR OPENING FROM MSTR BDRM TO BACKYARD,
palo alto,— Inspection,420 Seale Av,Aug 7 2009,,Approved,09000-00717,Permit: #09000-00717,NEW MASONRY OUTDOOR FIREPLACE.,
palo alto,Plam Check,471 Margarita Av,Jan 12 2016,Finaled,Plan check required,15000-02898,Revision,15000-02898: RELOCATE AND REPLACE (7) METERS AND ELECTRICAL PANELS THAT SERVE UNITS 471-481,
palo alto,— Permit,744 San Antonio Av Apt 23,Mar 13 2013,Permit Issued,Permit Issued,13000-00106,Permit: #13000-00106,U&O FOR RELOCATION OF EXISTING BUSINESS "IMPERIAL AUTO TRUCK CENTER INC. & A+ AUTO CLASS" FROM SUITE #27 (2ND FLOOR) TO SUITE #3 (1ST FLOOR). **U&O SENT 3/13/13**,
palo alto,— Inspection,1451 California Av,Sep 30 2015,Permit Issued,Approved,14000-01853,Com Demolition,demo,
palo alto,Plam Check,1236 College Av,Oct 6 2014,Permit Issued,Approved,14000-02496,Revision,14-2496: REVISED PLANS INCLUDE AN ADDITIONAL LEVEL 2 EVSE FOR TOTAL OF 2 FROM SUBPANEL.,
palo alto,— Permit Issuance,340 University Av,Jun 22 2016,Permit Issued,Permit Issued,16000-01535,Com Remodel/Repair,REPLACE TILE LANDING WITH NEW CONCRETE LANDING,
palo alto,— Inspection,1500 Bryant St,Dec 9 2011,Permit Issued,Approved,11000-02680,Permit: #11000-02680,RESIDENTIAL PV AND SOLAR HOT WATER,
palo alto,— Inspection,2373 Santa Ana St,Feb 9 2015,Permit Issued,Approved,14000-03149,Permit: #14000-03149,REMODEL GARAGE ~200SF,
palo alto,— Permit,877 Forest Av,Mar 15 2011,Permit Issued,Permit Issued,11REV-00117,Permit: #11REV-00117,11-357; REVISION INCLUDES ADDITIONAL BATHROOM REMODEL ON 2ND FLOOR.,
palo alto,— Inspection,1090 Tanland Dr,May 27 2011,Permit Issued,Approved,11000-00673,Permit: #11000-00672,1090 TANLAND UNIT 106: CONVERT COMMON STORAGE LAUNDRY ROOM INTO A BEDROOM FOR THE ADJOINING APARTMENT AND RELOCATE BATHROOM WITHIN EXISTING UNIT.,
palo alto,— Inspection,3591 Lupine Ave,May 19 2011,Permit Issued,Approved,11000-00674,Permit: #11000-00674,Sweep gravel remove & clean debris off roof; spray applied foam & coatings.,
palo alto,— Inspection,393 Ventura Av,May 4 2011,Permit Issued,Approved,11000-00688,Permit: #11000-00688,FURNACE REPLACEMENT IN THE SAME LOCATION -THE HALL CLOSET,
palo alto,— Inspection,728 Alester Av,Mar 17 2011,Permit Issued,Approved,11000-00687,Permit: #11000-00687,SEWER LINE REPLACEMENT FROM HOUSE TO SIDE WALK -TRENCHED 25 FEET,
palo alto,Plam Check,1210 Newell Rd,,Permit Issued,,16REV-00237,Revision,15000-00305: ADD A SKYLIGHT IN THE MASTER BEDROOM. REMOVE TWO (2) TANKLESS WATER HEATHERS AND ADD A RADIANT HEATING SYSTEM.,
palo alto,— Inspection,1741 Middlefield Rd,Dec 12 2011,Permit Issued,Approved,11000-00685,Permit: #11000-00685,RESIDENTIAL REMODEL OF EXISTING BATH / ADDITION OF NEW BATH WITHIN EXISTING BUILDING; REPLACE EXISTING DOOR AND WINDOWS INSTALL NEW WINDOW AND SKYLIGHTS.,
palo alto,— Inspection,3750 Corina Wy,Aug 6 2015,Permit Issued,Approved,15000-01854,Res Elect/Plbg/Mech only,RESIDENTIAL ROOF MOUNTED PHOTOVOLTAIC SYSTEM 3.99kW,
palo alto,— Inspection,1437 Dana Av,Oct 25 2012,Permit Issued,Approved,12000-02033,Permit: #12000-02033,REWIRE APPROX HALF THE HOME (ALL PREVIOUS REMODELS DID REWIRING IN THOSE LOCATIONS) TO REPLACE KNOB AND TUBE WIRING. REPLACE (E) 100 AMP SUB PANEL IN THE SAME LOCATION -EXTERIOR NE CORNER. REPLACE TWO FURNACES IN THE SAME LOCATION (BASEMENT ATTIC),
palo alto,— Inspection,2016 Edgewood Dr,Jun 8 2011,Permit Issued,Approved,11000-00681,Permit: #11000-00681,REMODEL OF HALL BATHROOM AND MASTER BATHROOM (64.5 SF),
palo alto,— Permit,3375 Alma St Apt 265,Mar 15 2011,Permit Issued,Permit Issued,11000-00679,Permit: #11000-00679,REPLACE EXISTING FURNACE - SAME LOCATION - 45000 BTU,
palo alto,— Permit,747 Rosewood Dr,Aug 2 2011,PLN - Approved,Permit Issued,11000-00676,Permit: #11REV-00304,GAS PIPING SIZING FOR THE NEW TWO STORY RESIDENCE O INCLUDE PIPING FOR T2 TANKLESS WATER HEATERS FURNACE AND FIREPLACE.,
palo alto,— Inspection,1018 Fulton St,May 13 2016,Finaled,Approved,16000-00425,Res Elect/Plbg/Mech only,RESDIENTIAL RE-CONSTRUCTION OF BACKYARD AREA WITH NEW PAVING NEW GAS LINE TO THE GARAGE AND BBQ,
palo alto,— Inspection,1107 Cowper St,Apr 15 2011,Permit Issued,Approved,11000-00683,Permit: #11000-00683,REMOVE/REPLACE TWO GAS WATER HEATERS,
palo alto,— Inspection,775 Hamilton Av,Nov 10 2015,Finaled,Approved,15000-02124,Res Elect/Plbg/Mech only,REPLACE FURNACE IN EXISTING LOCATION AND REPLACE AND RELOCATE THE AIR CONDITIONER,
palo alto,— Inspection,2391 Bryant St,Mar 23 2011,Permit Issued,Approved,11000-00696,Permit: #11000-00696,SEWER LINE REPAIR FROM HOUSE TO CITY CLEANOUT IN THE PLANTER STRIP -30 FEET USING PIPE BURST METHOD,
palo alto,— Inspection,3251 Hanover St Unit 204,Feb 2 2016,Permit Issued,Approved,15000-01183,Com Remodel/Repair,UNITS 204-205: SITE UTILITY CLOSURE OF (E) LOCKHEED MARTIN BUILDINGS (204 AND 205). SCOPE OF WORK INCLUDES (N) 8" FIRE WATER LINE (N) 4" DOMESTIC WATER LINEWITH ISOLATION VALVES. (N) DOOR TO BE INSTALLED IN (E) TUNNEL. ****applicant needs to revise plans applicant choosing to not submit until after meeting with fire and building***,
palo alto,— Inspection,1544 Madrono Av,Oct 17 2011,Permit Issued,Approved,11000-00692,Permit: #11000-00692,REMODEL TWO BATHROOMS AND CREATE A NEW BATHROOM WITHIN (E) ENVELOPE. RELOCATE LAUNDRY ROOM AND REMODEL INTERIOR WALLS. AREA OF WORK: 280 SF,
palo alto,Plam Check,542 Emerson St,Mar 16 2011,FIR - Routed,Approved,11000-00691,Permit: #11000-00691,U&O FOR "METASWITCH NETWORKS" A SOFTWARE DEVELOPMENT FIRM TO OCCUPY ~1850 SF ON 2ND FLOOR,
palo alto,— Inspection,4000 Middlefield Rd,Jun 26 2015,Permit Issued,Approved,14000-02279,Re-roofing,BLDG S: COMMERCIAL RE-ROOF: INSTALL (N) CLASS "A" MODIFIED BITUMEN SBS (72 SQUARES) REMOVE (E) TAR AND GRAVEL,
palo alto,Plam Check,321 California Av,Jul 14 2011,FIR - Approved,Approved,11000-01778,Permit: #11000-01778,USE AND OCCUPANCY FOR MEXICAN RESTAURANT "TAQUERIA AZTECA",
palo alto,— Inspection,660 High St,Jul 17 2015,Permit Issued,Approved,14000-03259,Permit: #14000-03259,IDEO COMMERCIAL 4426 SF TI FOR (E) TENANT. SCOPE INCLUDING (N) ROOFTOP HVAC,
palo alto,— Inspection,699 San Antonio Av,Jun 29 2016,Permit Issued,Approved,16000-00652,Use & Occupancy only,NICHE AUTOMOTIVE: U&O ONLY FOR A 1350 SF AUTOMOTIVE REPAIR LOCATED AT THE ARCO GAS STATION.,
palo alto,— Inspection,778 Gailen Av,Jun 26 2012,Permit Issued,Approved,11000-02021,Permit: #11000-02021,NEW 133 SF DETACHED STORAGE ROOM WITH COVERED PATIO.,
palo alto,— Inspection,412 Emerson St,Jun 16 2015,Permit Issued,Approved,15000-00087,Permit: #15000-00087,THE PATIO: REPLACE SEWER LINE 60-FEET TRENCHLESS.,
palo alto,— Permit,960 Embarcadero Rd,Jan 11 2013,Permit Issued,Permit Issued,12000-01028,Permit: #13REV-00010,12000-01028: CHANGE WINDOWS IN THE LIVING ROOM WITH A NEW HEADER.,
palo alto,— Inspection,3338 Ramona St,Dec 12 2013,Permit Issued,Scheduled,12000-00723,Permit: #13REV-00011,12-723: REVISION INCLUDES FAMILY ROOM WINDOW ADDITION AND SLOPING CEILING AT STAIR AND LIVING ROOM.,
palo alto,Plam Check,900 Arastradero Rd,Dec 2 2015,Permit Issued,Approved,15000-02957,Revision,16000-01007: AREA OF WORK INCREASED FROM 4170 TO 4903 MODIFYING INTERIOR LAYOUT OF ROOMS,
palo alto,— Permit,890 Lincoln Av,Nov 2 2012,GB - Appd Inspection Required,Permit Issued,11000-02397,Permit: #12REV-00605,12000-02386: REVISION TO SHIFT GARAGE FORWARD (TOWARDS THE STREET) 12.5 FEET WITH A NEW SETBACK OF 20-FEET.,
palo alto,— Inspection,1700 Guinda St,Jun 16 2015,Permit Issued,Approved,14000-03172,Permit: #14000-03172,REPLACE (E) FURNACE LOCATED IN GARAGE AND REPLACE (E) A/C UNIT LOCATED AT SIDE YARD,
palo alto,— Inspection,253 Ferne Av,Feb 4 2013,Permit Issued,Approved,13000-00124,Permit: #13000-00124,RESIDENTIAL REROOF (MAIN HOUSE): 23 SQUARES OF STONE COATED METAL ROOF SYSTEM O/ (E) SHEATHING.,
palo alto,— Inspection,855 El Camino Real,Jun 10 2015,Permit Issued,Approved,14000-01888,Use & Occupancy only,U&O FOR "LEAN IN FOUNDATION " WOMEN'S EMPOWERMENT ORGANIZATION PRIVATE OPERATING NONPROFIT ORGANIZATION TO OCCUPY ~1327 SF ON 2ND FLOOR SUITE #350.,
palo alto,— Permit,281 Chestnut Av,Mar 14 2013,Permit Issued,Permit Issued,12000-02951,Permit: #13REV-00155,12000-02951: REMOVE AND REPLACE DRY ROT AT PORCH ROOF AND REMOVE AND REPLACE THREE (E) SKYLIGHTS LIKE FOR LIKE,
palo alto,— Inspection,1131 Lincoln Av,May 30 2014,Permit Issued,Approved,13000-02981,Permit: #13000-02981,INSTALL (2) TWO MOTORIZED CAR GATES (RESIDENTIAL) ACROSS DRIVEWAY UNDERGROUND ELECTRIC CONDUITS FROM METER TO GATE LOCATIONS FOR GATE MOTORS,
palo alto,— Inspection,831 High St,Aug 29 2013,Permit Issued,Approved,13000-01467,Permit: #13000-01467,PALANTIR: REPLACE AND RELOCATE FEEDER AND CONDUIT FROM TRANSFORMER TO METER. SCOPE OF WORK INCLUDES OPENING THE SIDEWALK AND A DISCONNECT AND RECONNECT AT THE METER.,
palo alto,— Permit,2392 Saint Francis Dr,Apr 10 2012,Permit Issued,Issued through Velocity Hall,12000-00808,Permit: #12000-00808,REMOVE/REPLACE GAS WATER HEATER,
palo alto,— Permit,440 University Av,May 15 2013,Permit Issued,Permit Issued,13000-00566,Permit: #13REV-00326,13000-00566: REVISION TO SEWER CONNECTION AND SUMP TO COMPLY WITH HEALTH DEPARTMENT REQUIREMENTS,
palo alto,— Inspection,945 Laurel Glen Dr,Jul 1 2014,Permit Issued,Approved,13000-03409,Permit: #13000-03409,RESIDENTIAL INTERIOR REMODEL (190 SF): RELOCATE LAUNDRY AND BEDROOM ON FIRST FLOOR CONVERT (E) xx FIREPLACE TO 2-SIDED GAS FIREPLACE ON SECOND FLOOR,
palo alto,— Inspection,2321 Middlefield Rd,Dec 16 2013,Permit Issued,Approved,13000-02882,Permit: #13000-02882,MAIN SEWER LINE REPLACEMENT FROM HOUSE TO CITY CLEAN OUT: TRENCHLESS PIPEBURST,
palo alto,— Inspection,3942 Duncan Pl,Dec 3 2013,Permit Issued,Approved,13000-02977,Permit: #13000-02977,REPLACING 48LF OF GASLINE TO 1.25" INSTALL A GAS "T" AND EXTEND GASLINETO FIREPLACE IN LIVING ROOM FOR NEW GAS BURNER IN EXISTING FIREPLACE.,
palo alto,Plam Check,3333 Coyote Hill Rd,Feb 27 2015,Finaled,Approved,14000-02400,Revision,14000:00230: FIELD CLARIFICATIONS BY BLDG INSPECTOR FOR EMERGENCY POWER AND EMERGENCY LIGHT FIXTURES,
palo alto,— Inspection,718 Emerson St,Jan 14 2015,Permit Issued,Cancelled,13000-00089,Permit: #13000-00347,PALO ALTO SPEEDOMETER: REPLACE SIX (6) SKYLIGHTS WITH THE SAME SIZE.,
palo alto,— Permit,1862 Edgewood Dr,Jan 18 2013,Permit Issued,Permit Issued,13000-00095,Permit: #13REV-00034,13000-00146: FRAMING PLAN REQUIRED BY INSPECTOR,
palo alto,— Inspection,450 Seale Av,May 15 2013,Permit Issued,Approved,13000-00340,Permit: #13000-00340,LANDSCAPE WITH ARBOR FIREPIT AND WATER FEATURE WITH ASSOCIATED ELECTRICAL AND PLUMBING.,
palo alto,— Inspection,765 San Antonio Av Unit 76,Jul 3 2013,Permit Issued,Approved,13000-00110,Permit: #13000-00110,INSTALL A RESIDENTIAL EVSE LOCATED IN THE GARAGE,
palo alto,— Inspection,2490 Waverley St,Oct 2 2013,Permit Issued,Approved,13000-00109,Permit: #13000-00109,LEVEL 2 CAR CHARGING STATION IN RESIDENTIAL GARAGE,
palo alto,— Permit,319 W Meadow Dr,Jan 10 2013,Permit Issued,Permit Issued,13000-00108,Permit: #13000-00108,REPLACE FURNACE SAME LOCATION. GARAGE.,
palo alto,— Permit,1156 Hamilton Av,Nov 27 2013,Permit Issued,Permit Issued,13000-00107,Permit: #13000-00107,RESIDENTIAL EVSE LOCATED OUTSIDE THE GARAGE AT THE DRIVEWAY,
palo alto,— Permit,3000 Cowper St,Jan 10 2013,Permit Issued,Permit Issued,13000-00104,Permit: #13000-00104,REPLACE SIDING LIKE FOR LIKE ALONG SIDE OF THE HOUSE THAT BORDERS GARY COURT.,
palo alto,Plam Check,450 Colorado Av,Nov 2 2015,Finaled,Approved,13000-00103,Revision,13000-00103: REVISION TO THE CEILING FRAMING PLAN,
palo alto,— Inspection,189 Walter Hays Dr,Jan 15 2013,Permit Issued,Approved,13000-00102,Permit: #13000-00102,FURNACE CHANGE OUT IN EXISTING LOCATION IN HALL CLOSET.,
palo alto,— Inspection,801 High St,Jun 21 2013,Permit Issued,Approved,13000-00128,Permit: #13000-00991,COMMERCIAL SEWER LINE REPAIR: TRENCH 9-FEET UNDERNEATH THE SIDEWALK AND INSTALL NEW BUILDING CLEANOUT. WORK IS BEING DONE ON HOMER,
palo alto,— Inspection,531 Hawthorne Av,Jun 15 2015,Permit Issued,Approved,14000-02948,Re-roofing,RESIDENTIAL GARAGE 2 SQUARE MODIFIED TPO REROOF O/ (E) SHEATHING,
palo alto,— Permit,3931 Ventura Ct,Mar 7 2013,Permit Issued,Permit Issued,13000-00220,Permit: #13REV-00136,13-220: ADDING 145 SF TO INITIAL 708 SF; VALUATION CHANGED FROM $114000 TO $137000. DIFFERENCE IN PERMIT FEES COLLECTED UNDER PERMIT#13-220,
palo alto,— Inspection,1920 Waverley St,Jun 13 2016,Finaled,Approved,16000-00944,Res Remodel/Repair,REPLACE THREE (3) WINDOWS LIKE FOR LIKE AND REPAIR STUCCO AT WINDOWS.,
palo alto,— Permit,15 Crescent Dr,Jun 14 2010,Permit Issued,Permit Issued,09000-00792,Permit: #10REV-00188,09-792; AMMR SEWER LINE CONNECTION WITH 2ND DWELLING UNIT TO MAIN RESIDENCE.,
palo alto,— Inspection,290 California Av,Jun 23 2010,,Approved,10000-01274,Permit: #10000-01274,Install Backflow Device,
palo alto,— Inspection,1232 Wilson St,Apr 23 2010,Permit Issued,Approved,10000-00786,Permit: #10000-00786,REPLACE GAS LINE FROM METER (AT FRONT HOUSE) TO REAR HOUSE (APPROX 70 FT) DUE TO GAS LEAK (ALL ONE PARCEL),
palo alto,Plam Check,2460 High St,Apr 14 2010,Completed,Approved,10REV-00109,Permit: #10REV-00109,06-3349: T-24 REVISION,
palo alto,— Permit,2672 Kipling St,Dec 7 2010,Permit Issued,Permit Issued,09000-02206,Permit: #10REV-00468,09-2206: AMMR FOR DEMILEC SEALECTION 500 OPEN CELL SPRAY FOAM INSTALLATION IN AN UNVENTED ATTIC,
palo alto,— Permit,850 Rorke Wy,Oct 8 2010,Permit Issued,Permit Issued,10000-00784,Permit: #10REV-00389,10-784: ROOF TRUSS CALCS,
palo alto,Plam Check,731 Garland Dr,,,,09000-00953,Permit: #10000-00320,ADDITION PROJECT; 336 SF INCLUDES BEDROOM CLOSET AND BATH.,
palo alto,— Inspection,3464 South Ct,Jul 28 2010,Permit Issued,Approved,10000-00781,Permit: #10000-01536,TEMP POWER,
palo alto,— Permit,926 Emerson St,Oct 20 2010,Permit Issued,Issued through Velocity Hall,09000-00731,Permit: #10000-02761,Back Flow Device,
palo alto,— Inspection,701 Garland Dr,Nov 29 2010,Permit Issued,Approved,10000-01760,Permit: #10000-01760,REMODEL MASTER BATHROOM RELOCATE SHOWER TOILET REPLACE 2-WINDOWS IN EXISTING OPENINGS SAME SIZE.,
palo alto,— Inspection,214 Oxford Av,Nov 19 2010,Permit Issued,Approved,10000-01789,Permit: #10000-01789,UPGRADE (E) 100 AMP ELECTRICAL SERVICE TO A 200 AMP SERVICE IN THE SAME LOCATION,
palo alto,— Inspection,870 Loma Verde Av,Jan 10 2012,Permit Issued,Approved,10000-03127,Permit: #10000-03127,NEW SINGLE FAMILY RESIDENCE (2546 SF) WITH ATTACHED GARAGE (241 SF); TANKLESS WATER HEATER AND 2-A/C UNITS PROPOSED; SEE 10-3128/10-3129 FOR HOUSE & GAR DEMO >> CORNER LOT - NEW 'PROPOSED' ADDRESS IS 3248 MURRAY WAY <<,
palo alto,— Permit,400 Cambridge Av Suite A,May 12 2010,Permit Issued,Permit Issued,10000-00766,Permit: #10000-00766,U&O FOR "WEINBERG ZIFF AND MILLER" A LAW FIRM TO OCCUPAY THE 2ND FLOOR 3849 SF,
palo alto,— Inspection,2676 Middlefield Rd,Jun 24 2010,Permit Issued,Approved,10000-00901,Permit: #10000-00901,INSTALL BACKFLOW,
palo alto,— Inspection,625 Lowell Av,Apr 14 2010,Permit Issued,Approved,10000-00762,Permit: #10000-00762,TRENCHLESS SEWER PARTIAL REPLACEMENT ~15 FT,
palo alto,— Inspection,2520 Ross Rd,May 7 2010,Permit Issued,Approved,10000-00761,Permit: #10000-00761,BOILER REPLACEMENT FOR RADIANT HEATING SYSTEM ALSO REPLACES STORAGE TANK WATER HEATER; NO GAS LINE MODIFICATIONS REQUIRED PREVIOUS BTU 140000 NEW IS 126000. 5/5/10 revised single line diagram approved AR,
palo alto,— Inspection,1470 Arcadia Pl,Apr 16 2010,Permit Issued,Approved,10000-00783,Permit: #10000-00783,INSTALL 2-WAY CLEAN-OUT AT HOUSE; NO SEWER REPLACEMENT.,
palo alto,— Permit,101 Quarry Rd,Apr 13 2010,Permit Issued,Permit Issued,10000-00780,Permit: #10000-00780,INSTALL 2-SETS OF ILLUMINATED HALO LIT CHANNEL LETTERS FOR WELLS FARGO.,
palo alto,— Inspection,4188 King Arthur's Ct,May 19 2010,Permit Issued,Approved,10000-00779,Permit: #10000-00779,REPLACE FURNACE AND ADD A/C UNIT,
palo alto,— Inspection,496 W Charleston Rd,May 19 2010,Permit Issued,Approved,10000-00776,Permit: #10000-00776,80 GALLON WATER HEATER - CARPORT AREA,
palo alto,— Inspection,945 Industrial Av,Jun 17 2010,Permit Issued,Approved,10000-00774,Permit: #10000-00774,INSTALL BACKFLOW DEVICE,
palo alto,— Inspection,421 California Av,May 28 2010,Permit Issued,Approved,10000-00772,Permit: #10000-00772,INSTALL BACKFLOW DEVICE,
palo alto,— Permit,710 Josina Ave,Apr 13 2010,,Issued through Velocity Hall,10000-00777,Permit: #10000-00777,replace a 40 galon water heater in the same location,
palo alto,— Inspection,302 Kipling St,Apr 23 2010,Permit Issued,Approved,10000-00793,Permit: #10000-00793,COPPER REPIPE AND MAIN SERVICE LINE.,
palo alto,— Inspection,177 Bryant St,Apr 20 2010,Permit Issued,Approved,10000-00792,Permit: #10000-00792,SEWER SPOT REPAIR IN CITY PLANTING STRIP,
palo alto,Plam Check,261 California Av,Apr 15 2010,FIR - Approved,Approved,10000-00791,Permit: #10000-00791,USE & OCCUPANCY 'KEEBLE & SCHUCHAT' RETAIL CAMERA STORE 8500 SF.,
palo alto,— Inspection,304 Kipling St,Apr 22 2010,Permit Issued,Approved,10000-00794,Permit: #10000-00794,COPPER REPIPE AND REPLACEMENT OF MAIN SERVICE LINE.,
palo alto,— Inspection,744 San Antonio Av,Oct 20 2009,FIR - Approved,Approved,09000-01062,Permit: #09000-01862,USE & OCCUPANCY ONLY FOR "ACUPUNCTURE HEALING POINT"; CLINIC TRADITIONAL CHINESE MEDICINE REMEDIES SUITE 1 (1036-SF),
palo alto,Plam Check,1501 California Av,Jan 7 2016,Permit Issued,Approved,14000-01553,Com Elect/Plbg/Mech only,INSTALL COMMERCIAL ROOFTOP PHOTOVOLTAIC SYSTEM 374 PANELS WITH COMBINED POWER 120KW,
palo alto,— Inspection,1160 Welch Rd,Aug 26 2009,Permit Issued,Approved,09000-01117,Permit: #09000-01117,RE-ROOF: OVERLAY EXISTING BUILT-UP ROOFING w/TAR & GRAVEL ESR1660 (2700-SF),
palo alto,— Permit Issuance,3226 Maddux Dr,Jun 20 2016,Permit Issued,Permit Issued,16000-01514,Res Elect/Plbg/Mech only,TEMP POWER,
palo alto,— Inspection,1891 Page Mill Rd Suite 200,Jun 2 2009,,Approved,09000-00730,Permit: #09000-00730,SUITE 200: ADD 7-CIRCUITS TO EXISTING 400-AMP PANEL ADD 14-ELECT OUTLETS THRU-OUT OFFICE SPACE,
palo alto,— Inspection,550 Melville Av,Jun 26 2009,,Approved,09000-00729,Permit: #09000-00729,WHOLE HOUSE COPPER REPIPE.,
palo alto,— Inspection,715 Alma St,Apr 26 2016,Permit Issued,Not Approved - Not Ready,16000-00529,Com Remodel/Repair,TI AND U&O FOR NEW TENANT "PALANTIR TECHNOLOGIES" SCOPE OF WORK INDLUDES REMOVING AND RECONFIGURING INTERIOR NON STRUCTURAL WALLS. NEW LIGHITNG AND ELECTRICAL FOR FIRST FLOOR.,
palo alto,Plam Check,780 High St,Apr 14 2009,,Approved,09000-00726,Permit: #09000-00726,U&O FOR EXISTING TENANT "IDEO" (12847 SF).,
palo alto,Plam Check,744 High St,Jun 19 2015,Permit Issued,Approved,14000-02789,Revision,14-2789: REVISED PLANS INCLUDE NEW SERVICE SINK.,
palo alto,— Inspection,916 El Cajon Wy,May 6 2009,,Approved,09000-00744,Permit: #09000-00744,MASTER BATHROOM REMODEL INSTALL NEW APPLIANCES IN KITCHEN WINDOW REPLACEMENT 3 NEW EXTERIOR DOORS AND NEW GAS FIREPLACE INSERT.,
palo alto,— Inspection,340 Iris Wy,Apr 22 2009,,Approved,09000-00743,Permit: #09000-00742,HOUSE: T/O WOOD SHAKES INSTALL 1/2" PLYWD 30 YR COMP SHINGLES 21 SQUARES.,
